Rank,Author,Solved,Penalty,1001,1002,1003,1004,1005,1006,1007,1008,1009,1010,1011,1012
63,"team876 复旦大学",7,12:05:37,"02:02:27 (-1)",,03:30:35,,,00:33:14,00:12:47,03:54:25,,00:16:58,01:15:11,
64,"team883 复旦大学",7,12:07:47,01:09:14,,"02:23:17 (-3)",,,00:38:49,00:17:28,"03:23:16 (-3)",,"00:23:58 (-1)",01:31:45,
65,"team065 浙江工业大学",7,12:09:34,"01:20:54 (-1)",,"02:08:25 (-2)",,,00:40:30,00:12:17,03:39:33,,00:21:55,"02:26:00 (-1)",
66,"team131 浙大宁波理工学院",7,12:14:25,01:47:13,,02:36:00,,,"00:56:08 (-1)","00:18:22 (-1)",,,00:06:53,01:25:19,"04:04:30 (-1)"
67,"team316 北京邮电大学",7,12:21:04,01:39:57,,02:41:33,,,01:24:13,00:10:23,"04:06:40 (-2)",,00:16:11,01:22:07,
68,"team872 复旦大学",7,12:29:21,"01:03:16 (-1)",(-1),"04:10:10 (-2)",,,"00:36:09 (-1)",00:12:48,"02:34:13 (-1)",,00:16:23,01:56:22,
69,"team370 浙大城市学院",7,12:33:05,00:52:40,,"04:09:04 (-2)",,,00:37:45,00:21:56,"03:17:58 (-2)",,00:14:24,01:39:18,
70,"team505 南京航空航天大学",7,12:38:02,00:57:35,,02:16:21,,,"01:32:57 (-1)","00:16:45 (-1)",04:06:56,,00:29:07,02:18:21,
71,"team759 武汉大学",7,12:49:26,"01:24:19 (-2)",,02:01:50,,,00:46:06,"00:15:53 (-1)","03:47:11 (-6)",,00:14:37,01:19:30,(-1)
72,"team296 南方科技大学",7,12:49:29,01:11:42,"02:57:57 (-3)",,,,01:29:21,00:21:38,"03:46:55 (-2)",,00:13:00,01:08:56,
73,"team441 杭州师范大学",7,12:54:45,"01:33:15 (-1)",,02:50:19,,,00:55:48,00:29:33,"04:02:29 (-2)",,00:16:45,"01:26:36 (-1)",
74,"team715 吉林大学",7,13:01:32,01:27:56,03:51:58,,,,01:04:36,"00:59:57 (-1)","02:50:31 (-4)",,00:19:41,00:46:53,
75,"team577 南京理工大学",7,13:05:38,"02:07:43 (-3)",,"01:36:27 (-2)",,,00:31:34,00:21:58,04:00:19,,00:11:57,02:35:40,
76,"team111 南京外国语学校",7,13:08:37,"03:39:08 (-4)",(-12),01:17:22,,,00:36:09,"00:22:08 (-4)",,,"00:38:56 (-1)",01:33:36,02:01:18
77,"team853 华中科技大学",7,13:29:02,"01:35:30 (-4)",,"03:59:12 (-1)",,,00:34:31,"00:18:30 (-1)",02:59:50,,00:11:55,01:49:34,
78,"team221 大连海事大学",7,13:30:00,01:26:52,,04:07:39,,,00:54:08,"00:36:04 (-1)",03:12:00,,00:43:18,02:09:59,
79,"team993 东南大学",7,13:32:08,00:39:55,(-2),"01:53:46 (-1)",,,"00:40:01 (-1)","00:18:16 (-4)","02:53:27 (-3)",,"00:11:45 (-1)","01:34:58 (-6)",(-2)
80,"team678 南京大学",7,13:35:03,01:14:52,,"03:25:17 (-6)",,,00:42:53,00:26:07,"03:44:25 (-2)",,00:11:22,"00:50:07 (-1)",(-3)
81,"team871 复旦大学",7,13:36:39,"02:18:12 (-4)",,02:34:25,,,00:36:36,"00:16:58 (-1)","03:31:17 (-1)",,00:22:04,"01:37:07 (-1)",
82,"team190 广东工业大学",7,13:43:36,"00:47:31 (-1)",,01:45:22,,,00:38:53,00:08:40,"04:08:24 (-7)",,00:14:54,"02:19:52 (-3)",
83,"team572 深圳中学",7,14:11:19,"01:30:45 (-6)",,(-1),,,00:24:17,"00:11:48 (-1)","04:11:03 (-3)",,"00:12:52 (-2)",01:01:02,02:39:32
84,"team185 广东工业大学",7,14:22:21,"00:30:11 (-1)",,02:58:55,,,01:19:47,"01:08:52 (-3)",03:56:51,,00:10:14,"02:17:31 (-2)",
85,"team259 南京理工大学",7,14:50:09,"02:46:18 (-2)",,02:26:11,,,00:48:28,"00:18:11 (-1)","03:41:38 (-2)",,00:21:17,"02:08:06 (-2)",(-1)
86,"team382 华南师范大学附属中学",7,14:52:14,01:24:48,,"04:10:03 (-4)",,,00:56:11,00:10:46,(-3),,00:16:50,01:23:36,"03:30:00 (-5)"
87,"team676 南京大学",7,14:58:33,01:23:54,,02:12:15,,,"01:20:21 (-4)",00:16:35,04:08:21,,00:14:17,"03:22:50 (-2)",(-2)
88,"team141 上海理工大学",7,15:04:47,01:13:58,"03:51:00 (-4)","03:15:06 (-4)",,,01:15:33,"00:59:41 (-2)",(-2),,"00:08:01 (-1)",00:41:28,
89,"team391 湖南大学",7,15:36:33,00:40:40,,"03:47:15 (-3)",,,00:50:48,"00:11:34 (-1)","03:55:38 (-1)",,00:16:57,"02:33:41 (-5)",
90,"team300 南方科技大学",7,15:55:23,"03:16:00 (-2)",(-7),"02:20:52 (-1)",,,"01:19:30 (-3)","00:14:32 (-1)",,,00:07:11,"02:36:35 (-3)",02:40:43
91,"team582 福州大学",7,15:58:59,"00:58:46 (-3)",,"03:26:36 (-1)",,,00:37:37,"00:20:06 (-2)","04:07:41 (-7)",,"00:37:24 (-1)","00:50:49 (-1)",(-3)
92,"team265 北京理工大学",7,16:12:21,"01:08:56 (-5)",,02:00:43,,,00:40:42,00:22:19,"04:03:08 (-7)",,00:21:44,"01:34:49 (-6)",(-1)
93,"team939 福建师范大学",7,16:17:30,"01:00:09 (-1)",,"03:11:08 (-6)",,,00:30:59,"00:13:04 (-4)","03:49:09 (-2)",,00:12:49,"01:40:12 (-4)",
94,"team012 华东师范大学",7,16:27:30,00:38:57,,02:47:52,,,01:40:42,"00:29:43 (-2)","04:06:48 (-3)",,00:51:59,"03:11:29 (-3)",
95,"team716 吉林大学",7,17:10:04,"02:11:50 (-4)",,"04:01:55 (-1)",,,00:33:29,"01:26:57 (-2)",,,00:13:18,01:40:35,"03:22:00 (-4)"
96,"team855 华中科技大学",7,17:52:25,00:47:58,,"03:48:47 (-5)",,,00:27:39,"00:11:51 (-1)","03:43:24 (-3)",(-2),"00:13:16 (-1)","02:19:30 (-9)",
97,"team1031 金陵中学河西分校",7,18:50:36,"02:29:19 (-7)",03:12:19,"02:26:34 (-3)",,,00:43:32,00:27:24,(-2),,"00:35:02 (-3)","01:36:26 (-9)",(-1)
98,"team103 南京外国语学校",7,20:49:57,02:11:38,,01:40:41,,,03:01:51,02:47:13,,"02:37:27 (-6)",00:36:01,"03:55:06 (-6)",(-1)
99,"team749 暨南大学",7,21:44:42,"01:50:47 (-12)",,03:12:20,,,00:36:54,"00:08:46 (-4)",03:45:41,,"00:12:26 (-1)","02:17:48 (-12)",
100,"team218 浙江理工大学",6,05:11:59,00:42:44,,(-14),,,00:30:11,00:16:13,02:46:35,,00:08:35,00:47:41,(-2)
101,"team481 华南理工大学",6,05:21:23,00:20:34,(-3),(-4),,,00:28:33,"00:13:10 (-2)",02:20:37,,00:06:11,"00:52:18 (-1)",
102,"team580 福州大学",6,05:31:24,"00:25:42 (-1)",,(-2),,,00:42:19,"00:26:08 (-2)",01:41:31,,00:15:01,01:00:43,
103,"team952 杭州第二中学",6,05:33:54,00:29:13,,"02:03:59 (-1)",,,"00:29:04 (-1)",00:09:46,,,00:17:04,"00:44:48 (-2)",(-5)
104,"team801 哈尔滨工业大学",6,05:44:01,00:47:31,,"02:11:30 (-1)",,,00:41:35,"00:15:34 (-1)",,,00:15:10,00:52:41,(-1)
105,"team555 清华大学",6,05:47:20,01:35:47,,01:57:22,,,00:34:26,00:22:41,,,00:13:38,01:03:26,
106,"team844 四川省成都市第七中学",6,06:39:06,00:43:51,,(-9),,,00:29:50,00:20:41,,,"00:09:45 (-2)",00:26:52,"02:48:07 (-3)"
107,"team313 北京邮电大学",6,06:40:18,01:06:33,,(-3),,,00:32:34,"00:20:43 (-1)",02:57:53,,00:11:23,01:11:12,
108,"team813 重庆市育才中学",6,06:46:27,"02:01:37 (-6)",,00:27:08,,,00:43:57,"00:11:13 (-1)",(-3),,00:09:28,00:53:04,(-1)
109,"team480 长沙市长郡中学",6,06:54:44,00:58:50,,"03:21:01 (-1)",,,00:38:26,00:15:13,,,00:17:06,01:04:08,(-3)
110,"team448 西安电子科技大学",6,06:56:10,"01:09:01 (-2)",,"01:24:51 (-1)",,,00:31:43,00:09:29,(-3),,00:19:10,"02:01:56 (-1)",(-2)
111,"team055 东北大学",6,06:58:06,01:33:23,,02:09:48,,,00:44:37,00:28:28,(-4),,"00:14:24 (-1)",01:27:26,
